id,isfraud,fraudpattern,srcvalue,srcfontstyle,srcfontsize,srcfontcolor,srcbbox,desvalue,desfontstyle,desfontsize,desfontcolor,desbbox,srcname,srcregionvalue,srcregionfontstyle,srcregionfontsize,srcregionfontcolor,srcregionbbox,srcshift,desname,desregionvalue,desregionfontstyle,desregionfontsize,desregionfontcolor,desregionbbox,desshift,real_id,id_meta,name,address,birthday,gender,ethnicity,class,issue_date,expire_date,height,weight,eye_color,hair_color,is_donor,is_veteran,license_number,id_stripped
generated.photos_v3_0017084_fake_5847,True,Fraud5_inpaint_and_rewrite,D05674206,Arial_Bold.ttf,21.0,"[36, 36, 36]","[211, 79, 322, 100]",D05674206,DejaVuSansCondensed-Oblique.ttf,20.0,"[0, 0, 0]","[211, 79, 322, 100]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0017084,generated.photos_v3_0017084,Cesar Figueroa,"3747 24th Drive, Yuma, AZ 85364",1994-04-15,M,latino,A,2020-02-16,2025-02-16,5'-08'',149 lb,BRO,BRO,False,False,D05674206,generated.photos_v3_0017084
generated.photos_v3_0016288_fake_1945,True,Fraud5_inpaint_and_rewrite,"SCOTTSDALE, AZ 85250",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 349, 228]","SCOTTSDALE, AZ 85250",DejaVuSerifCondensed-BoldItalic.ttf,13.0,"[0, 0, 0]","[183, 214, 349, 228]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0016288,generated.photos_v3_0016288,Isabella Young,"19 Miller Road, Scottsdale, AZ 85250",1985-01-18,F,white,C,2020-10-29,2025-10-29,6'-06'',158 lb,GRA,BRO,False,False,D91555093,generated.photos_v3_0016288
generated.photos_v3_0003040_fake_3918,True,Fraud5_inpaint_and_rewrite,B,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]",B,DejaVuSansMono-Bold.ttf,15.0,"[0, 0, 0]","[170, 284, 180, 298]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0003040,generated.photos_v3_0003040,Jacob Russell,"143 Mc 85, Buckeye, AZ 85326",1987-07-21,M,white,B,2021-12-30,2026-12-30,5'-00'',157 lb,BRO,BRO,False,False,D91405890,generated.photos_v3_0003040
generated.photos_v3_0010442_fake_874,True,Fraud5_inpaint_and_rewrite,0000000000005801,Arial_Bold.ttf,13.0,"[55, 33, 28]","[196, 333, 308, 346]",0000000000005801,DejaVuSansCondensed.ttf,11.0,"[0, 0, 0]","[196, 333, 308, 346]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0010442,generated.photos_v3_0010442,Miguel Guerrero,"2144 Riverview Drive, Bullhead City, AZ 86442",2001-02-28,M,latino,B,2023-04-23,2028-04-23,5'-00'',164 lb,BRO,BRO,False,False,D43877997,generated.photos_v3_0010442
generated_fake_2_98,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0706811.png,127 lb,Arial_Bold.ttf,15.0,"[23, 42, 33]","[332, 254, 373, 269]","[[7, 5], [0, 6]]",generated.photos_v3_0139167.png,MAURICIO,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 264, 171]","[[0, 6], [7, 5]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_73,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0794949.png,FLORES,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 249, 145]","[[9, 8], [1, 8]]",generated.photos_v3_0379205.png,0000000000005290,Arial_Bold.ttf,13.0,"[55, 33, 28]","[196, 333, 308, 346]","[[1, 8], [9, 8]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_67,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0716656.png,02/25/1997,Arial_Bold.ttf,21.0,"[53, 45, 24]","[426, 102, 534, 123]","[[2, 7], [7, 8]]",generated.photos_v3_0075936.png,05/10/2027,Arial_Bold.ttf,21.0,"[54, 38, 42]","[426, 79, 534, 100]","[[7, 8], [2, 7]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_71,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0586610.png,D58694734,Arial_Bold.ttf,21.0,"[36, 36, 36]","[211, 79, 322, 100]","[[6, 2], [5, 1]]",generated.photos_v3_0601546.png,B,Arial_Bold.ttf,14.0,"[51, 56, 41]","[170, 315, 180, 329]","[[5, 1], [6, 2]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_65,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0401120_0267995_0068932.png,GIBSON,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 246, 145]","[[2, 8], [0, 4]]",generated.photos_v3_0815536.png,04/19/2022,Arial_Bold.ttf,14.0,"[31, 27, 34]","[215, 109, 287, 123]","[[0, 4], [2, 8]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_59,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0976160.png,"CASA GRANDE, AZ 85122",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 357, 228]","[[3, 4], [3, 2]]",generated.photos_v3_0777680.png,ARUN,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 231, 171]","[[3, 2], [3, 4]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0008825_fake_5355,True,Fraud5_inpaint_and_rewrite,11/05/2022,Arial_Bold.ttf,14.0,"[31, 27, 34]","[215, 109, 287, 123]",11/05/2022,DejaVuSans-BoldOblique.ttf,10.0,"[0, 0, 0]","[215, 109, 287, 123]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0008825,generated.photos_v3_0008825,Akira Sharma,"537 Craycroft Road, Sahuarita, AZ 85629",2002-05-14,M,asian,B,2022-11-05,2027-11-05,7'-06'',168 lb,BRO,BRO,False,False,D42419314,generated.photos_v3_0008825
generated_fake_2_8,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0784155.png,08/21/99,Arial_Bold.ttf,14.0,"[149, 156, 130]","[498, 324, 554, 338]","[[6, 9], [0, 1]]",generated.photos_v3_0050078.png,F,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 178, 269]","[[0, 1], [6, 9]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_9,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0137522_0131305_0498618.png,"BUCKEYE, AZ 85326",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 321, 228]","[[8, 9], [6, 0]]",generated.photos_v3_0778303.png,4218 11TH STREET,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 314, 213]","[[6, 0], [8, 9]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_58,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0512907.png,0000000000002265,Arial_Bold.ttf,13.0,"[55, 33, 28]","[196, 333, 308, 346]","[[7, 5], [4, 3]]",generated.photos_v3_0147629_0326230_0305011.png,2032 RANCHO VISTOSO BOULEVARD,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 439, 213]","[[4, 3], [7, 5]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_64,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0488592.png,09/26/1998,Arial_Bold.ttf,21.0,"[53, 45, 24]","[426, 102, 534, 123]","[[2, 5], [2, 0]]",generated.photos_v3_0062905.png,07/15/1991,Arial_Bold.ttf,20.0,"[53, 42, 51]","[334, 332, 434, 352]","[[2, 0], [2, 5]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_70,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0196709.png,HERRERA,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 265, 145]","[[5, 0], [2, 7]]",generated.photos_v3_0811627_0137738_0382667.png,234 PINAL AVENUE,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 315, 213]","[[2, 7], [5, 0]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0012976_fake_4712,True,Fraud5_inpaint_and_rewrite,02/12/2003,Arial_Bold.ttf,20.0,"[53, 42, 51]","[334, 332, 434, 352]",02/12/2003,DejaVuSerif.ttf,16.0,"[0, 0, 0]","[334, 332, 434, 352]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0012976,generated.photos_v3_0012976,Lakisha Morgan,"2558 Goldwater Boulevard, Scottsdale, AZ 85250",2003-02-12,F,black,D,2024-08-09,2029-08-09,5'-09'',171 lb,BRO,BLK,False,False,D59101888,generated.photos_v3_0012976
generated_fake_2_48,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0532892_0871095_0494307.png,0000000000000223,Arial_Bold.ttf,13.0,"[55, 33, 28]","[196, 333, 308, 346]","[[7, 3], [6, 8]]",generated.photos_v3_0457469.png,5'-00'',Arial_Bold.ttf,15.0,"[47, 40, 52]","[225, 254, 266, 269]","[[6, 8], [7, 3]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_74,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0389145.png,"SURPRISE, AZ 85374",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 324, 228]","[[8, 6], [2, 5]]",generated.photos_v3_0466645.png,0000000000005096,Arial_Bold.ttf,13.0,"[55, 33, 28]","[196, 333, 308, 346]","[[2, 5], [8, 6]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_60,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0416237.png,M,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 182, 269]","[[2, 7], [4, 1]]",generated.photos_v3_0170019.png,3892 2ND STREET,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 307, 213]","[[4, 1], [2, 7]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0003103_fake_2619,True,Fraud5_inpaint_and_rewrite,B,Arial_Bold.ttf,14.0,"[51, 56, 41]","[170, 315, 180, 329]",B,DejaVuSansCondensed-Bold.ttf,13.0,"[0, 0, 0]","[170, 315, 180, 329]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0003103,generated.photos_v3_0003103,Rafael Sanchez,"172 Oracle Road, Oro Valley, AZ 85737",1998-04-09,M,latino,D,2020-10-22,2025-10-22,6'-08'',190 lb,BRO,BRO,False,False,D22810129,generated.photos_v3_0003103
generated.photos_v3_0002511_fake_239,True,Fraud5_inpaint_and_rewrite,6'-03'',Arial_Bold.ttf,15.0,"[47, 40, 52]","[225, 254, 266, 269]",6'-03'',DejaVuSansCondensed-Bold.ttf,12.0,"[0, 0, 0]","[225, 254, 266, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0002511,generated.photos_v3_0002511,Jovan Morgan,"70 County 13th Street, Somerton, AZ 85350",2000-02-03,M,black,A,2021-03-07,2026-03-07,6'-03'',133 lb,BRO,BLK,True,False,D32177155,generated.photos_v3_0002511
generated.photos_v3_0016139_fake_230,True,Fraud5_inpaint_and_rewrite,"APACHE JUNCTION, AZ 85120",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 388, 228]","APACHE JUNCTION, AZ 85120",DejaVuSans-BoldOblique.ttf,12.0,"[0, 0, 0]","[183, 214, 388, 228]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0016139,generated.photos_v3_0016139,Alexa Castro,"3416 Apache Trail, Apache Junction, AZ 85120",1990-02-12,F,latino,D,2021-11-28,2026-11-28,5'-06'',152 lb,BRO,BRO,False,False,D40357813,generated.photos_v3_0016139
generated.photos_v3_0003285_fake_3005,True,Fraud5_inpaint_and_rewrite,D,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]",D,DejaVuSerif.ttf,11.0,"[0, 0, 0]","[170, 284, 180, 298]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0003285,generated.photos_v3_0003285,Madison Jones,"45 Sarival Avenue, Goodyear, AZ 85338",1999-05-02,F,white,D,2023-09-19,2028-09-19,7'-07'',196 lb,BRO,BRO,False,False,D52764538,generated.photos_v3_0003285
generated.photos_v3_0015369_fake_2791,True,Fraud5_inpaint_and_rewrite,F,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 178, 269]",F,DejaVuSerifCondensed.ttf,13.0,"[0, 0, 0]","[169, 254, 178, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0015369,generated.photos_v3_0015369,Abigail Adams,"717 Sahuarita Road, Sahuarita, AZ 85629",1991-01-27,F,white,A,2022-02-27,2027-02-27,6'-03'',128 lb,BRO,BRO,False,False,D69038392,generated.photos_v3_0015369
generated.photos_v3_0011839_fake_797,True,Fraud5_inpaint_and_rewrite,NONE,Arial_Bold.ttf,14.0,"[24, 44, 34]","[221, 284, 261, 298]",NONE,DejaVuSansMono.ttf,15.0,"[0, 0, 0]","[221, 284, 261, 298]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0011839,generated.photos_v3_0011839,Nori Guo,"833 S. 7th Street, Cottonwood, AZ 86326",1997-11-19,F,asian,C,2021-11-30,2026-11-30,7'-01'',166 lb,BRO,BRO,False,False,D15372505,generated.photos_v3_0011839
generated_fake_2_61,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0120775_0397782_0110991.png,SHAKIRA,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 258, 171]","[[6, 4], [4, 6]]",generated.photos_v3_0144876.png,11/10/1986,Arial_Bold.ttf,21.0,"[53, 45, 24]","[426, 102, 534, 123]","[[4, 6], [6, 4]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_75,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0845677.png,09/19/2028,Arial_Bold.ttf,21.0,"[54, 38, 42]","[426, 79, 534, 100]","[[5, 0], [1, 4]]",generated.photos_v3_0685994.png,09/02/01,Arial_Bold.ttf,14.0,"[149, 156, 130]","[498, 324, 554, 338]","[[1, 4], [5, 0]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_49,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0992323.png,C,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]","[[3, 8], [0, 7]]",generated.photos_v3_0738866.png,HARUKA,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 255, 171]","[[0, 7], [3, 8]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_63,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0615917.png,NONE,Arial_Bold.ttf,14.0,"[24, 44, 34]","[221, 284, 261, 298]","[[9, 1], [2, 9]]",generated.photos_v3_0323427.png,07/30/2025,Arial_Bold.ttf,21.0,"[54, 38, 42]","[426, 79, 534, 100]","[[2, 9], [9, 1]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_77,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0234536.png,7'-05'',Arial_Bold.ttf,15.0,"[47, 40, 52]","[225, 254, 266, 269]","[[1, 0], [5, 9]]",generated.photos_v3_0161268.png,05/06/01,Arial_Bold.ttf,14.0,"[149, 156, 130]","[498, 324, 554, 338]","[[5, 9], [1, 0]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_88,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0031482_0683247_0461490.png,BRO,Arial_Bold.ttf,14.0,"[46, 46, 56]","[276, 254, 307, 268]","[[9, 3], [4, 6]]",generated.photos_v3_0816074.png,B,Arial_Bold.ttf,14.0,"[51, 56, 41]","[170, 315, 180, 329]","[[4, 6], [9, 3]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0018393_fake_2175,True,Fraud5_inpaint_and_rewrite,M,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 182, 269]",M,DejaVuSerif-BoldItalic.ttf,9.0,"[0, 0, 0]","[169, 254, 182, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0018393,generated.photos_v3_0018393,Suresh Abe,"5715 Houghton Road, Sahuarita, AZ 85629",1999-03-28,M,asian,D,2022-08-10,2027-08-10,5'-07'',198 lb,BRO,BLK,False,False,D45261508,generated.photos_v3_0018393
generated.photos_v3_0017285_fake_4636,True,Fraud5_inpaint_and_rewrite,ALVAREZ,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 261, 145]",ALVAREZ,DejaVuSans.ttf,16.0,"[0, 0, 0]","[183, 129, 261, 145]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0017285,generated.photos_v3_0017285,Adrian Alvarez,"95 Bella Sera Drive, Bullhead City, AZ 86442",1984-08-17,M,latino,B,2020-09-12,2025-09-12,5'-04'',217 lb,BRO,BRO,False,False,D47331437,generated.photos_v3_0017285
generated.photos_v3_0007944_fake_93,True,Fraud5_inpaint_and_rewrite,A,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]",A,DejaVuSerif-BoldItalic.ttf,10.0,"[0, 0, 0]","[170, 284, 180, 298]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0007944,generated.photos_v3_0007944,Ariel Wells,"1237 McCulloch Boulevard, Lake Havasu City, AZ 86403",1986-06-08,F,black,A,2020-07-16,2025-07-16,6'-03'',129 lb,BRO,BRO,False,False,D02322299,generated.photos_v3_0007944
generated_fake_2_89,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0880464.png,D05255359,Arial_Bold.ttf,21.0,"[36, 36, 36]","[211, 79, 322, 100]","[[0, 5], [9, 3]]",generated.photos_v3_0098295.png,BRO,Arial_Bold.ttf,14.0,"[46, 46, 56]","[276, 254, 307, 268]","[[9, 3], [0, 5]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_76,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0075963.png,CHUA,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 231, 145]","[[2, 9], [5, 6]]",generated.photos_v3_0224417.png,09/04/1999,Arial_Bold.ttf,20.0,"[53, 42, 51]","[334, 332, 434, 352]","[[5, 6], [2, 9]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_62,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0764138.png,555 ALMA SCHOOL ROAD,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 362, 213]","[[6, 9], [7, 2]]",generated.photos_v3_0069574.png,01/23/2026,Arial_Bold.ttf,21.0,"[54, 38, 42]","[426, 79, 534, 100]","[[7, 2], [6, 9]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_11,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0685556.png,F,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 178, 269]","[[8, 7], [3, 7]]",generated.photos_v3_0357334.png,"DOUGLAS, AZ 85607",Arial_Bold.ttf,14.0,"[29, 38, 25]","[183, 214, 324, 228]","[[3, 7], [8, 7]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_39,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0724549_0142019_0379304.png,B,Arial_Bold.ttf,14.0,"[51, 56, 41]","[170, 315, 180, 329]","[[1, 7], [1, 9]]",generated.photos_v3_0178461.png,10/18/2002,Arial_Bold.ttf,20.0,"[53, 42, 51]","[334, 332, 434, 352]","[[1, 9], [1, 7]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0010678_fake_3851,True,Fraud5_inpaint_and_rewrite,F,Arial_Bold.ttf,15.0,"[40, 39, 23]","[169, 254, 178, 269]",F,DejaVuSansMono-Oblique.ttf,12.0,"[0, 0, 0]","[169, 254, 178, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0010678,generated.photos_v3_0010678,Hailey Alvarez,"5744 Bailey Street, Florence, AZ 85132",1994-02-17,F,latino,C,2020-09-17,2025-09-17,6'-07'',169 lb,BRO,BRO,False,True,D48682728,generated.photos_v3_0010678
generated.photos_v3_0013103_fake_617,True,Fraud5_inpaint_and_rewrite,MINGZHE,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 257, 171]",MINGZHE,DejaVuSans.ttf,15.0,"[0, 0, 0]","[183, 155, 257, 171]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0013103,generated.photos_v3_0013103,Mingzhe Raj,"3472 Avondale Boulevard, Avondale, AZ 85323",1992-12-19,M,asian,D,2022-10-11,2027-10-11,5'-06'',182 lb,BRO,BLK,False,False,D07758416,generated.photos_v3_0013103
generated.photos_v3_0005252_fake_2762,True,Fraud5_inpaint_and_rewrite,188 lb,Arial_Bold.ttf,15.0,"[23, 42, 33]","[332, 254, 373, 269]",188 lb,DejaVuSerifCondensed.ttf,14.0,"[0, 0, 0]","[332, 254, 373, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0005252,generated.photos_v3_0005252,Ravi Xu,"4 Hassayampa Village Lane, Prescott, AZ 86301",2001-11-04,M,asian,C,2024-06-04,2029-06-04,7'-11'',188 lb,BRO,BRO,False,False,D09001951,generated.photos_v3_0005252
