desshift,id,desvalue,address,hair_color,license_number,desfontcolor,srcregionfontcolor,srcfontsize,desname,srcfontstyle,srcregionfontsize,srcregionbbox,desregionbbox,name,srcvalue,desregionfontcolor,srcfontcolor,srcbbox,desfontsize,desregionvalue,fraudpattern,desbbox,ethnicity,eye_color,desfontstyle,id_stripped,desregionfontsize,is_donor,srcregionfontstyle,is_fraud,weight,expire_date,birthday,desregionfontstyle,height,issue_date,class,srcregionvalue,gender,srcname,srcshift,is_veteran
[],generated.photos_v3_0017084_fake_5847,D05674206,"3747 24th Drive, Yuma, AZ 85364",BRO,D05674206,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Cesar Figueroa,D05674206,[],"[36, 36, 36]","[211, 79, 322, 100]",20.0,,Fraud5_inpaint_and_rewrite,"[211, 79, 322, 100]",latino,BRO,DejaVuSansCondensed-Oblique.ttf,generated.photos_v3_0017084,,False,,True,149 lb,2025-02-16,1994-04-15,,5'-08'',2020-02-16,A,,M,,[],False
[],generated.photos_v3_0016288_fake_1945,"SCOTTSDALE, AZ 85250","19 Miller Road, Scottsdale, AZ 85250",BRO,D91555093,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Isabella Young,"SCOTTSDALE, AZ 85250",[],"[29, 38, 25]","[183, 214, 349, 228]",13.0,,Fraud5_inpaint_and_rewrite,"[183, 214, 349, 228]",white,GRA,DejaVuSerifCondensed-BoldItalic.ttf,generated.photos_v3_0016288,,False,,True,158 lb,2025-10-29,1985-01-18,,6'-06'',2020-10-29,C,,F,,[],False
[],generated.photos_v3_0003040_fake_3918,B,"143 Mc 85, Buckeye, AZ 85326",BRO,D91405890,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Jacob Russell,B,[],"[45, 36, 46]","[170, 284, 180, 298]",15.0,,Fraud5_inpaint_and_rewrite,"[170, 284, 180, 298]",white,BRO,DejaVuSansMono-Bold.ttf,generated.photos_v3_0003040,,False,,True,157 lb,2026-12-30,1987-07-21,,5'-00'',2021-12-30,B,,M,,[],False
[],generated.photos_v3_0010442_fake_874,0000000000005801,"2144 Riverview Drive, Bullhead City, AZ 86442",BRO,D43877997,"[0, 0, 0]",[],13.0,,Arial_Bold.ttf,,[],[],Miguel Guerrero,0000000000005801,[],"[55, 33, 28]","[196, 333, 308, 346]",11.0,,Fraud5_inpaint_and_rewrite,"[196, 333, 308, 346]",latino,BRO,DejaVuSansCondensed.ttf,generated.photos_v3_0010442,,False,,True,164 lb,2028-04-23,2001-02-28,,5'-00'',2023-04-23,B,,M,,[],False
"[[0, 6], [7, 5]]",generated_fake_2_98,,,,,[],"[23, 42, 33]",,generated.photos_v3_0139167.png,,15.0,"[332, 254, 373, 269]","[183, 155, 264, 171]",,,"[24, 43, 32]",[],[],,MAURICIO,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,127 lb,,generated.photos_v3_0706811.png,"[[7, 5], [0, 6]]",
"[[1, 8], [9, 8]]",generated_fake_2_73,,,,,[],"[20, 45, 31]",,generated.photos_v3_0379205.png,,16.0,"[183, 129, 249, 145]","[196, 333, 308, 346]",,,"[55, 33, 28]",[],[],,0000000000005290,Fraud6_crop_and_replace,[],,,,,13.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,FLORES,,generated.photos_v3_0794949.png,"[[9, 8], [1, 8]]",
"[[7, 8], [2, 7]]",generated_fake_2_67,,,,,[],"[53, 45, 24]",,generated.photos_v3_0075936.png,,21.0,"[426, 102, 534, 123]","[426, 79, 534, 100]",,,"[54, 38, 42]",[],[],,05/10/2027,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,02/25/1997,,generated.photos_v3_0716656.png,"[[2, 7], [7, 8]]",
"[[5, 1], [6, 2]]",generated_fake_2_71,,,,,[],"[36, 36, 36]",,generated.photos_v3_0601546.png,,21.0,"[211, 79, 322, 100]","[170, 315, 180, 329]",,,"[51, 56, 41]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,D58694734,,generated.photos_v3_0586610.png,"[[6, 2], [5, 1]]",
"[[0, 4], [2, 8]]",generated_fake_2_65,,,,,[],"[20, 45, 31]",,generated.photos_v3_0815536.png,,16.0,"[183, 129, 246, 145]","[215, 109, 287, 123]",,,"[31, 27, 34]",[],[],,04/19/2022,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,GIBSON,,generated.photos_v3_0401120_0267995_0068932.png,"[[2, 8], [0, 4]]",
"[[3, 2], [3, 4]]",generated_fake_2_59,,,,,[],"[29, 38, 25]",,generated.photos_v3_0777680.png,,14.0,"[183, 214, 357, 228]","[183, 155, 231, 171]",,,"[24, 43, 32]",[],[],,ARUN,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,"CASA GRANDE, AZ 85122",,generated.photos_v3_0976160.png,"[[3, 4], [3, 2]]",
[],generated.photos_v3_0008825_fake_5355,11/05/2022,"537 Craycroft Road, Sahuarita, AZ 85629",BRO,D42419314,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Akira Sharma,11/05/2022,[],"[31, 27, 34]","[215, 109, 287, 123]",10.0,,Fraud5_inpaint_and_rewrite,"[215, 109, 287, 123]",asian,BRO,DejaVuSans-BoldOblique.ttf,generated.photos_v3_0008825,,False,,True,168 lb,2027-11-05,2002-05-14,,7'-06'',2022-11-05,B,,M,,[],False
"[[0, 1], [6, 9]]",generated_fake_2_8,,,,,[],"[149, 156, 130]",,generated.photos_v3_0050078.png,,14.0,"[498, 324, 554, 338]","[169, 254, 178, 269]",,,"[40, 39, 23]",[],[],,F,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,08/21/99,,generated.photos_v3_0784155.png,"[[6, 9], [0, 1]]",
"[[6, 0], [8, 9]]",generated_fake_2_9,,,,,[],"[29, 38, 25]",,generated.photos_v3_0778303.png,,14.0,"[183, 214, 321, 228]","[184, 199, 314, 213]",,,"[47, 38, 42]",[],[],,4218 11TH STREET,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,"BUCKEYE, AZ 85326",,generated.photos_v3_0137522_0131305_0498618.png,"[[8, 9], [6, 0]]",
"[[4, 3], [7, 5]]",generated_fake_2_58,,,,,[],"[55, 33, 28]",,generated.photos_v3_0147629_0326230_0305011.png,,13.0,"[196, 333, 308, 346]","[184, 199, 439, 213]",,,"[47, 38, 42]",[],[],,2032 RANCHO VISTOSO BOULEVARD,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,0000000000002265,,generated.photos_v3_0512907.png,"[[7, 5], [4, 3]]",
"[[2, 0], [2, 5]]",generated_fake_2_64,,,,,[],"[53, 45, 24]",,generated.photos_v3_0062905.png,,21.0,"[426, 102, 534, 123]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,07/15/1991,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,09/26/1998,,generated.photos_v3_0488592.png,"[[2, 5], [2, 0]]",
"[[2, 7], [5, 0]]",generated_fake_2_70,,,,,[],"[20, 45, 31]",,generated.photos_v3_0811627_0137738_0382667.png,,16.0,"[183, 129, 265, 145]","[184, 199, 315, 213]",,,"[47, 38, 42]",[],[],,234 PINAL AVENUE,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,HERRERA,,generated.photos_v3_0196709.png,"[[5, 0], [2, 7]]",
[],generated.photos_v3_0012976_fake_4712,02/12/2003,"2558 Goldwater Boulevard, Scottsdale, AZ 85250",BLK,D59101888,"[0, 0, 0]",[],20.0,,Arial_Bold.ttf,,[],[],Lakisha Morgan,02/12/2003,[],"[53, 42, 51]","[334, 332, 434, 352]",16.0,,Fraud5_inpaint_and_rewrite,"[334, 332, 434, 352]",black,BRO,DejaVuSerif.ttf,generated.photos_v3_0012976,,False,,True,171 lb,2029-08-09,2003-02-12,,5'-09'',2024-08-09,D,,F,,[],False
"[[6, 8], [7, 3]]",generated_fake_2_48,,,,,[],"[55, 33, 28]",,generated.photos_v3_0457469.png,,13.0,"[196, 333, 308, 346]","[225, 254, 266, 269]",,,"[47, 40, 52]",[],[],,5'-00'',Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,0000000000000223,,generated.photos_v3_0532892_0871095_0494307.png,"[[7, 3], [6, 8]]",
"[[2, 5], [8, 6]]",generated_fake_2_74,,,,,[],"[29, 38, 25]",,generated.photos_v3_0466645.png,,14.0,"[183, 214, 324, 228]","[196, 333, 308, 346]",,,"[55, 33, 28]",[],[],,0000000000005096,Fraud6_crop_and_replace,[],,,,,13.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,"SURPRISE, AZ 85374",,generated.photos_v3_0389145.png,"[[8, 6], [2, 5]]",
"[[4, 1], [2, 7]]",generated_fake_2_60,,,,,[],"[40, 39, 23]",,generated.photos_v3_0170019.png,,15.0,"[169, 254, 182, 269]","[184, 199, 307, 213]",,,"[47, 38, 42]",[],[],,3892 2ND STREET,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,M,,generated.photos_v3_0416237.png,"[[2, 7], [4, 1]]",
[],generated.photos_v3_0003103_fake_2619,B,"172 Oracle Road, Oro Valley, AZ 85737",BRO,D22810129,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Rafael Sanchez,B,[],"[51, 56, 41]","[170, 315, 180, 329]",13.0,,Fraud5_inpaint_and_rewrite,"[170, 315, 180, 329]",latino,BRO,DejaVuSansCondensed-Bold.ttf,generated.photos_v3_0003103,,False,,True,190 lb,2025-10-22,1998-04-09,,6'-08'',2020-10-22,D,,M,,[],False
[],generated.photos_v3_0002511_fake_239,6'-03'',"70 County 13th Street, Somerton, AZ 85350",BLK,D32177155,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Jovan Morgan,6'-03'',[],"[47, 40, 52]","[225, 254, 266, 269]",12.0,,Fraud5_inpaint_and_rewrite,"[225, 254, 266, 269]",black,BRO,DejaVuSansCondensed-Bold.ttf,generated.photos_v3_0002511,,True,,True,133 lb,2026-03-07,2000-02-03,,6'-03'',2021-03-07,A,,M,,[],False
[],generated.photos_v3_0016139_fake_230,"APACHE JUNCTION, AZ 85120","3416 Apache Trail, Apache Junction, AZ 85120",BRO,D40357813,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Alexa Castro,"APACHE JUNCTION, AZ 85120",[],"[29, 38, 25]","[183, 214, 388, 228]",12.0,,Fraud5_inpaint_and_rewrite,"[183, 214, 388, 228]",latino,BRO,DejaVuSans-BoldOblique.ttf,generated.photos_v3_0016139,,False,,True,152 lb,2026-11-28,1990-02-12,,5'-06'',2021-11-28,D,,F,,[],False
[],generated.photos_v3_0003285_fake_3005,D,"45 Sarival Avenue, Goodyear, AZ 85338",BRO,D52764538,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Madison Jones,D,[],"[45, 36, 46]","[170, 284, 180, 298]",11.0,,Fraud5_inpaint_and_rewrite,"[170, 284, 180, 298]",white,BRO,DejaVuSerif.ttf,generated.photos_v3_0003285,,False,,True,196 lb,2028-09-19,1999-05-02,,7'-07'',2023-09-19,D,,F,,[],False
[],generated.photos_v3_0015369_fake_2791,F,"717 Sahuarita Road, Sahuarita, AZ 85629",BRO,D69038392,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Abigail Adams,F,[],"[40, 39, 23]","[169, 254, 178, 269]",13.0,,Fraud5_inpaint_and_rewrite,"[169, 254, 178, 269]",white,BRO,DejaVuSerifCondensed.ttf,generated.photos_v3_0015369,,False,,True,128 lb,2027-02-27,1991-01-27,,6'-03'',2022-02-27,A,,F,,[],False
[],generated.photos_v3_0011839_fake_797,NONE,"833 S. 7th Street, Cottonwood, AZ 86326",BRO,D15372505,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Nori Guo,NONE,[],"[24, 44, 34]","[221, 284, 261, 298]",15.0,,Fraud5_inpaint_and_rewrite,"[221, 284, 261, 298]",asian,BRO,DejaVuSansMono.ttf,generated.photos_v3_0011839,,False,,True,166 lb,2026-11-30,1997-11-19,,7'-01'',2021-11-30,C,,F,,[],False
"[[4, 6], [6, 4]]",generated_fake_2_61,,,,,[],"[24, 43, 32]",,generated.photos_v3_0144876.png,,16.0,"[183, 155, 258, 171]","[426, 102, 534, 123]",,,"[53, 45, 24]",[],[],,11/10/1986,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,SHAKIRA,,generated.photos_v3_0120775_0397782_0110991.png,"[[6, 4], [4, 6]]",
"[[1, 4], [5, 0]]",generated_fake_2_75,,,,,[],"[54, 38, 42]",,generated.photos_v3_0685994.png,,21.0,"[426, 79, 534, 100]","[498, 324, 554, 338]",,,"[149, 156, 130]",[],[],,09/02/01,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,09/19/2028,,generated.photos_v3_0845677.png,"[[5, 0], [1, 4]]",
"[[0, 7], [3, 8]]",generated_fake_2_49,,,,,[],"[45, 36, 46]",,generated.photos_v3_0738866.png,,14.0,"[170, 284, 180, 298]","[183, 155, 255, 171]",,,"[24, 43, 32]",[],[],,HARUKA,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,C,,generated.photos_v3_0992323.png,"[[3, 8], [0, 7]]",
"[[2, 9], [9, 1]]",generated_fake_2_63,,,,,[],"[24, 44, 34]",,generated.photos_v3_0323427.png,,14.0,"[221, 284, 261, 298]","[426, 79, 534, 100]",,,"[54, 38, 42]",[],[],,07/30/2025,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,NONE,,generated.photos_v3_0615917.png,"[[9, 1], [2, 9]]",
"[[5, 9], [1, 0]]",generated_fake_2_77,,,,,[],"[47, 40, 52]",,generated.photos_v3_0161268.png,,15.0,"[225, 254, 266, 269]","[498, 324, 554, 338]",,,"[149, 156, 130]",[],[],,05/06/01,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,7'-05'',,generated.photos_v3_0234536.png,"[[1, 0], [5, 9]]",
"[[4, 6], [9, 3]]",generated_fake_2_88,,,,,[],"[46, 46, 56]",,generated.photos_v3_0816074.png,,14.0,"[276, 254, 307, 268]","[170, 315, 180, 329]",,,"[51, 56, 41]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,BRO,,generated.photos_v3_0031482_0683247_0461490.png,"[[9, 3], [4, 6]]",
[],generated.photos_v3_0018393_fake_2175,M,"5715 Houghton Road, Sahuarita, AZ 85629",BLK,D45261508,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Suresh Abe,M,[],"[40, 39, 23]","[169, 254, 182, 269]",9.0,,Fraud5_inpaint_and_rewrite,"[169, 254, 182, 269]",asian,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0018393,,False,,True,198 lb,2027-08-10,1999-03-28,,5'-07'',2022-08-10,D,,M,,[],False
[],generated.photos_v3_0017285_fake_4636,ALVAREZ,"95 Bella Sera Drive, Bullhead City, AZ 86442",BRO,D47331437,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Adrian Alvarez,ALVAREZ,[],"[20, 45, 31]","[183, 129, 261, 145]",16.0,,Fraud5_inpaint_and_rewrite,"[183, 129, 261, 145]",latino,BRO,DejaVuSans.ttf,generated.photos_v3_0017285,,False,,True,217 lb,2025-09-12,1984-08-17,,5'-04'',2020-09-12,B,,M,,[],False
[],generated.photos_v3_0007944_fake_93,A,"1237 McCulloch Boulevard, Lake Havasu City, AZ 86403",BRO,D02322299,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Ariel Wells,A,[],"[45, 36, 46]","[170, 284, 180, 298]",10.0,,Fraud5_inpaint_and_rewrite,"[170, 284, 180, 298]",black,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0007944,,False,,True,129 lb,2025-07-16,1986-06-08,,6'-03'',2020-07-16,A,,F,,[],False
"[[9, 3], [0, 5]]",generated_fake_2_89,,,,,[],"[36, 36, 36]",,generated.photos_v3_0098295.png,,21.0,"[211, 79, 322, 100]","[276, 254, 307, 268]",,,"[46, 46, 56]",[],[],,BRO,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,D05255359,,generated.photos_v3_0880464.png,"[[0, 5], [9, 3]]",
"[[5, 6], [2, 9]]",generated_fake_2_76,,,,,[],"[20, 45, 31]",,generated.photos_v3_0224417.png,,16.0,"[183, 129, 231, 145]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,09/04/1999,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,CHUA,,generated.photos_v3_0075963.png,"[[2, 9], [5, 6]]",
"[[7, 2], [6, 9]]",generated_fake_2_62,,,,,[],"[47, 38, 42]",,generated.photos_v3_0069574.png,,14.0,"[184, 199, 362, 213]","[426, 79, 534, 100]",,,"[54, 38, 42]",[],[],,01/23/2026,Fraud6_crop_and_replace,[],,,,,21.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,555 ALMA SCHOOL ROAD,,generated.photos_v3_0764138.png,"[[6, 9], [7, 2]]",
"[[3, 7], [8, 7]]",generated_fake_2_11,,,,,[],"[40, 39, 23]",,generated.photos_v3_0357334.png,,15.0,"[169, 254, 178, 269]","[183, 214, 324, 228]",,,"[29, 38, 25]",[],[],,"DOUGLAS, AZ 85607",Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,F,,generated.photos_v3_0685556.png,"[[8, 7], [3, 7]]",
"[[1, 9], [1, 7]]",generated_fake_2_39,,,,,[],"[51, 56, 41]",,generated.photos_v3_0178461.png,,14.0,"[170, 315, 180, 329]","[334, 332, 434, 352]",,,"[53, 42, 51]",[],[],,10/18/2002,Fraud6_crop_and_replace,[],,,,,20.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,B,,generated.photos_v3_0724549_0142019_0379304.png,"[[1, 7], [1, 9]]",
[],generated.photos_v3_0010678_fake_3851,F,"5744 Bailey Street, Florence, AZ 85132",BRO,D48682728,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Hailey Alvarez,F,[],"[40, 39, 23]","[169, 254, 178, 269]",12.0,,Fraud5_inpaint_and_rewrite,"[169, 254, 178, 269]",latino,BRO,DejaVuSansMono-Oblique.ttf,generated.photos_v3_0010678,,False,,True,169 lb,2025-09-17,1994-02-17,,6'-07'',2020-09-17,C,,F,,[],True
[],generated.photos_v3_0013103_fake_617,MINGZHE,"3472 Avondale Boulevard, Avondale, AZ 85323",BLK,D07758416,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Mingzhe Raj,MINGZHE,[],"[24, 43, 32]","[183, 155, 257, 171]",15.0,,Fraud5_inpaint_and_rewrite,"[183, 155, 257, 171]",asian,BRO,DejaVuSans.ttf,generated.photos_v3_0013103,,False,,True,182 lb,2027-10-11,1992-12-19,,5'-06'',2022-10-11,D,,M,,[],False
[],generated.photos_v3_0005252_fake_2762,188 lb,"4 Hassayampa Village Lane, Prescott, AZ 86301",BRO,D09001951,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Ravi Xu,188 lb,[],"[23, 42, 33]","[332, 254, 373, 269]",14.0,,Fraud5_inpaint_and_rewrite,"[332, 254, 373, 269]",asian,BRO,DejaVuSerifCondensed.ttf,generated.photos_v3_0005252,,False,,True,188 lb,2029-06-04,2001-11-04,,7'-11'',2024-06-04,C,,M,,[],False
[],generated.photos_v3_0013748_0248697_0821130_fake_3930,DEVONTE,"273 8th Street, Yuma, AZ 85364",BLK,D72866581,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Devonte Gordon,DEVONTE,[],"[24, 43, 32]","[183, 155, 262, 171]",15.0,,Fraud5_inpaint_and_rewrite,"[183, 155, 262, 171]",black,BRO,DejaVuSerifCondensed-Italic.ttf,generated.photos_v3_0013748_0248697_0821130,,False,,True,223 lb,2025-03-27,2000-08-31,,5'-01'',2020-03-27,B,,M,,[],False
"[[3, 6], [0, 9]]",generated_fake_2_38,,,,,[],"[47, 38, 42]",,generated.photos_v3_0028666.png,,14.0,"[184, 199, 395, 213]","[169, 254, 182, 269]",,,"[40, 39, 23]",[],[],,M,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,5394 SAN FRANCISCO STREET,,generated.photos_v3_0514625_0711480_0243693.png,"[[0, 9], [3, 6]]",
"[[4, 0], [7, 8]]",generated_fake_2_10,,,,,[],"[24, 44, 34]",,generated.photos_v3_0212176.png,,14.0,"[221, 284, 261, 298]","[183, 214, 312, 228]",,,"[29, 38, 25]",[],[],,"PAYSON, AZ 85541",Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,NONE,,generated.photos_v3_0660063.png,"[[7, 8], [4, 0]]",
"[[6, 9], [3, 2]]",generated_fake_2_12,,,,,[],"[53, 45, 24]",,generated.photos_v3_0332109.png,,21.0,"[426, 102, 534, 123]","[332, 254, 373, 269]",,,"[23, 42, 33]",[],[],,174 lb,Fraud6_crop_and_replace,[],,,,,15.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,04/24/1994,,generated.photos_v3_0861779.png,"[[3, 2], [6, 9]]",
